id,gid,x,y,v_x,v_y,radius,time
7,7,2.710785,-2.890407,-0.794612,0.683034,0.500000,3.800000
0,0,2.513646,0.308155,-1.450330,0.210117,0.500000,3.900000
1,1,2.916521,2.586135,-0.190226,-0.465506,0.500000,3.900000
2,2,0.157308,3.194419,0.266579,-0.912719,0.500000,3.900000
3,3,-1.701210,1.729720,0.879459,-1.054673,0.500000,3.900000
4,4,-4.139175,-0.246378,0.999457,0.145020,0.500000,3.900000
5,5,-2.231337,-1.972080,0.557221,0.267826,0.500000,3.900000
6,6,0.367413,-2.433888,0.310271,1.326711,0.500000,3.900000
7,7,2.616041,-2.815789,-0.947439,0.746177,0.500000,3.900000
0,0,2.404884,0.280575,-1.087621,-0.275795,0.500000,4.000000
1,1,2.884308,2.485823,-0.322128,-1.003116,0.500000,4.000000
2,2,0.184224,3.106671,0.269162,-0.877482,0.500000,4.000000
3,3,-1.613832,1.597166,0.873781,-1.325536,0.500000,4.000000
4,4,-3.992257,-0.207893,1.469176,0.384841,0.500000,4.000000
5,5,-2.219569,-1.949007,0.117679,0.230733,0.500000,4.000000
6,6,0.432764,-2.298188,0.653515,1.356993,0.500000,4.000000
7,7,2.549184,-2.736447,-0.668565,0.793418,0.500000,4.000000
0,0,2.243688,0.309720,-1.611963,0.291449,0.500000,4.100000
1,1,2.874611,2.370091,-0.096972,-1.157324,0.500000,4.100000
2,2,0.192825,3.029136,0.086010,-0.775351,0.500000,4.100000
3,3,-1.547533,1.459210,0.662986,-1.379559,0.500000,4.100000
4,4,-3.860106,-0.185285,1.321513,0.226085,0.500000,4.100000
5,5,-2.209358,-1.915961,0.102111,0.330462,0.500000,4.100000
6,6,0.440306,-2.178251,0.075420,1.199378,0.500000,4.100000
7,7,2.481809,-2.641694,-0.673755,0.947534,0.500000,4.100000
0,0,2.107812,0.337284,-1.358761,0.275642,0.500000,4.200000
1,1,2.824028,2.274550,-0.505823,-0.955414,0.500000,4.200000
2,2,0.208134,2.934546,0.153093,-0.945902,0.500000,4.200000
3,3,-1.500645,1.318758,0.468886,-1.404528,0.500000,4.200000
4,4,-3.745856,-0.179241,1.142500,0.060436,0.500000,4.200000
5,5,-2.195491,-1.884325,0.138667,0.316361,0.500000,4.200000
6,6,0.474496,-2.029726,0.341896,1.485247,0.500000,4.200000
7,7,2.422141,-2.556161,-0.596678,0.855329,0.500000,4.200000
0,0,1.929386,0.373791,-1.784254,0.365065,0.500000,4.300000
1,1,2.792076,2.193618,-0.319520,-0.809317,0.500000,4.300000
2,2,0.164529,2.907928,-0.436051,-0.266181,0.500000,4.300000
3,3,-1.432965,1.221172,0.676800,-0.975852,0.500000,4.300000
4,4,-3.615611,-0.183073,1.302448,-0.038319,0.500000,4.300000
5,5,-2.176764,-1.852685,0.187269,0.316393,0.500000,4.300000
6,6,0.476148,-1.906404,0.016521,1.233217,0.500000,4.300000
7,7,2.352592,-2.474091,-0.695485,0.820701,0.500000,4.300000
0,0,1.799272,0.405550,-1.301146,0.317589,0.500000,4.400000
1,1,2.747689,2.154339,-0.443877,-0.392791,0.500000,4.400000
2,2,0.077734,2.898515,-0.867956,-0.094133,0.500000,4.400000
3,3,-1.368580,1.084542,0.643846,-1.366303,0.500000,4.400000
4,4,-3.492989,-0.171657,1.226222,0.114161,0.500000,4.400000
5,5,-2.145108,-1.823280,0.316563,0.294052,0.500000,4.400000
6,6,0.504469,-1.780173,0.283214,1.262311,0.500000,4.400000
7,7,2.247187,-2.379504,-1.054057,0.945864,0.500000,4.400000
0,0,1.671715,0.427947,-1.275572,0.223970,0.500000,4.500000
1,1,2.732585,2.115044,-0.151040,-0.392944,0.500000,4.500000
2,2,0.015516,2.890252,-0.622180,-0.082630,0.500000,4.500000
3,3,-1.291769,0.954966,0.768114,-1.295764,0.500000,4.500000
4,4,-3.380108,-0.171995,1.128801,-0.003374,0.500000,4.500000
5,5,-2.105020,-1.799677,0.400882,0.236034,0.500000,4.500000
6,6,0.522088,-1.644095,0.176189,1.360780,0.500000,4.500000
7,7,2.140325,-2.302820,-1.068621,0.766840,0.500000,4.500000
0,0,1.497038,0.476766,-1.746767,0.488193,0.500000,4.600000
1,1,2.688592,2.039733,-0.439926,-0.753112,0.500000,4.600000
2,2,-0.030499,2.866908,-0.460143,-0.233440,0.500000,4.600000
3,3,-1.221867,0.834299,0.699018,-1.206668,0.500000,4.600000
4,4,-3.228633,-0.158903,1.514760,0.130917,0.500000,4.600000
5,5,-2.074115,-1.790858,0.309045,0.088188,0.500000,4.600000
